Ply;Move;White;Black;Score;Eval
0;[1];e4;;0.26;0.26;
1;[1];;c5;0.28;-0.02;
2;[2];Nf3;;0.37;0.09;
3;[2];;e6;0.26;0.11;
4;[3];d4;;0.25;-0.01;
5;[3];;cxd4;0.25;0.0;
6;[4];Nxd4;;0.25;0.0;
7;[4];;a6;0.33;-0.08;
8;[5];Bd3;;0.37;0.04;
9;[5];;g6;0.51;-0.14;
10;[6];Nd2;;0.29;-0.22;
11;[6];;Bg7;0.26;0.03;
12;[7];N2f3;;0.19;-0.07;
13;[7];;Ne7;0.3;-0.11;
14;[8];h4;;0.13;-0.17;
15;[8];;h6;0.13;0.0;
16;[9];Qe2;;-0.01;-0.14;
17;[9];;Nbc6;0.2;-0.21;
18;[10];c3;;0.14;-0.06;
19;[10];;b5;0.45;-0.31;
20;[11];Bf4;;0.48;0.03;
21;[11];;e5;0.6;-0.12;
22;[12];Nxc6;;0.57;-0.03;
23;[12];;Nxc6;0.56;0.01;
24;[13];Bg3;;0.31;-0.25;
25;[13];;d6;0.24;0.07;
26;[14];b4;;0.29;0.05;
27;[14];;O-O;0.38;-0.09;
28;[15];a4;;0.34;-0.04;
29;[15];;bxa4;0.34;0.0;
30;[16];Rxa4;;0.5;0.16;
31;[16];;Bb7;0.58;-0.08;
32;[17];h5;;0.37;-0.21;
33;[17];;g5;0.54;-0.17;
34;[18];O-O;;0.32;-0.22;
35;[18];;a5;0.51;-0.19;
36;[19];b5;;0.68;0.17;
37;[19];;Nb8;0.63;0.05;
38;[20];Rd1;;0.41;-0.22;
39;[20];;Nd7;0.45;-0.04;
40;[21];Bb1;;0.0;-0.45;
41;[21];;Nc5;0.1;-0.1;
42;[22];Ra2;;0.05;-0.05;
43;[22];;Qc7;0.24;-0.19;
44;[23];Rad2;;-0.14;-0.38;
45;[23];;Rfd8;-0.19;0.05;
46;[24];Qe3;;-0.65;-0.46;
47;[24];;Rac8;-0.1;-0.55;
48;[25];Nxg5;;0.0;0.1;
49;[25];;hxg5;0.0;0.0;
50;[26];Qxg5;;-0.28;-0.28;
51;[26];;Bxe4;0.0;-0.28;
52;[27];h6;;-0.52;-0.52;
53;[27];;Ne6;-0.87;0.35;
54;[28];Qg4;;-1.53;-0.66;
55;[28];;Bxb1;-1.24;-0.29;
56;[29];Rxb1;;-0.63;0.61;
57;[29];;Qxc3;-0.78;0.15;
58;[30];Rbd1;;-1.42;-0.64;
59;[30];;Qb4;-1.23;-0.19;
60;[31];Qh5;;-2.47;-1.24;Erreur
61;[31];;Bf6;-2.39;-0.08;
62;[32];Qf5;;-2.88;-0.49;
63;[32];;Rc1;-2.89;0.01;
64;[33];Kh2;;-3.13;-0.24;
65;[33];;Rxd1;-2.89;-0.24;
66;[34];Rxd1;;-3.58;-0.69;
67;[34];;Bh8;-1.31;-2.27;Erreur
68;[35];Rd3;;-0.81;0.5;
69;[35];;Rd7;-0.57;-0.24;
70;[36];f4;;-1.9;-1.33;Erreur
71;[36];;exf4;-1.98;0.08;
72;[37];Qg4+;;-4.55;-2.57;Erreur
73;[37];;Kf8;-4.47;-0.08;
74;[38];Bh4;;-4.75;-0.28;
75;[38];;f3;-5.27;0.52;
76;[39];gxf3;;-6.08;-0.81;
77;[39];;Qxg4;-4.17;-1.91;Erreur
78;[40];fxg4;;-4.39;-0.22;
79;[40];;Be5+;-4.16;-0.23;
80;[41];Bg3;;-4.2;-0.04;
81;[41];;Bxg3+;-3.44;-0.76;
82;[42];Kxg3;;-3.5;-0.06;
83;[42];;Kg8;-3.25;-0.25;
84;[43];Ra3;;-3.21;0.04;
85;[43];;Ra7;-2.84;-0.37;
86;[44];b6;;-2.79;0.05;
87;[44];;Rb7;-2.82;0.03;
88;[45];Rxa5;;-2.86;-0.04;
89;[45];;Rxb6;-2.85;-0.01;
90;[46];Ra7;;-3.17;-0.32;
91;[46];;Rb3+;-3.37;0.2;
92;[47];Kh4;;-3.32;0.05;
93;[47];;Rb1;-3.2;-0.12;
94;[48];h7+;;-3.18;0.02;
95;[48];;Kxh7;-3.21;0.03;
96;[49];Rxf7+;;-3.14;0.07;
97;[49];;Kg6;-3.29;0.15;
98;[50];Rd7;;-3.31;-0.02;
99;[50];;Rd1;-3.36;0.05;
100;[51];Kg3;;-3.55;-0.19;
101;[51];;Rd3+;-3.6;0.05;
102;[52];Kf2;;-3.39;0.21;
103;[52];;Kg5;-3.61;0.22;
104;[53];Re7;;-3.59;0.02;
105;[53];;Nc5;-3.65;0.06;
106;[54];Rg7+;;-3.57;0.08;
107;[54];;Kf4;-3.7;0.13;
108;[55];Ke2;;-3.64;0.06;
109;[55];;Rg3;-3.72;0.08;
