Ply,Move,White,Black,Score,Eval,Comment
0,[1],c4,,0.0,0.0,
1,[1],,Nf6,0.23,-0.23,
2,[2],Nc3,,0.02,-0.21,
3,[2],,c5,0.17,-0.15,
4,[3],g3,,0.0,-0.17,
5,[3],,g6,0.24,-0.24,
6,[4],Bg2,,0.15,-0.09,
7,[4],,Bg7,0.35,-0.2,
8,[5],Nf3,,0.23,-0.12,
9,[5],,Nc6,0.17,0.06,
10,[6],d4,,0.23,0.06,
11,[6],,cxd4,0.18,0.05,
12,[7],Nxd4,,0.12,-0.06,
13,[7],,Nxd4,0.32,-0.2,
14,[8],Qxd4,,0.18,-0.14,
15,[8],,O-O,0.2,-0.02,
16,[9],O-O,,0.27,0.07,
17,[9],,d6,0.2,0.07,
18,[10],Qd3,,0.13,-0.07,
19,[10],,a6,0.29,-0.16,
20,[11],b3,,0.06,-0.23,
21,[11],,Bf5,0.0,0.06,
22,[12],Qe3,,-0.06,-0.06,
23,[12],,Rb8,0.0,-0.06,
24,[13],Bb2,,-0.02,-0.02,
25,[13],,b5,-0.03,0.01,
26,[14],cxb5,,-0.11,-0.08,
27,[14],,axb5,-0.15,0.04,
28,[15],Ne4,,-0.22,-0.07,
29,[15],,Nxe4,-0.17,-0.05,
30,[16],Bxg7,,-0.14,0.03,
31,[16],,Kxg7,0.18,-0.32,
32,[17],Bxe4,,0.0,-0.18,
33,[17],,Bxe4,-0.01,0.01,
34,[18],Qxe4,,0.06,0.07,
35,[18],,b4,0.07,-0.01,
36,[19],Rfd1,,0.0,-0.07,
37,[19],,Qd7,-0.04,0.04,
38,[20],Rac1,,0.0,0.04,
39,[20],,Qb7,0.0,0.0,
40,[21],Qd4+,,-0.05,-0.05,
41,[21],,Kg8,0.05,-0.1,
42,[22],Rc2,,0.0,-0.05,
43,[22],,Rfc8,0.0,0.0,
44,[23],Rdc1,,0.0,0.0,
45,[23],,Rxc2,0.0,0.0,
46,[24],Rxc2,,0.0,0.0,
47,[24],,h5,0.0,0.0,
48,[25],e4,,-0.05,-0.05,
49,[25],,Kh7,0.06,-0.11,
50,[26],Rc4,,0.05,-0.01,
51,[26],,Qa6,0.26,-0.21,
52,[27],Qd2,,0.0,-0.26,
53,[27],,Qb6,0.03,-0.03,
54,[28],Kg2,,0.06,0.03,
55,[28],,Rb7,0.08,-0.02,
56,[29],Qd5,,0.0,-0.08,
57,[29],,Kg7,0.0,0.0,
58,[30],Rc8,,0.0,0.0,
59,[30],,Rb8,0.04,-0.04,
60,[31],Rc6,,0.0,-0.04,
61,[31],,Qb5,-0.01,0.01,
62,[32],Qd4+,,0.0,0.01,
63,[32],,f6,0.34,-0.34,
64,[33],Rc4,,0.0,-0.34,
65,[33],,Qa5,0.0,0.0,
66,[34],Qd2,,0.0,0.0,
67,[34],,Qb5,0.0,0.0,
68,[35],h3,,0.0,0.0,
69,[35],,Rb7,0.0,0.0,
70,[36],h4,,0.0,0.0,
71,[36],,Rb8,0.0,0.0,
72,[37],Kf3,,0.0,0.0,
73,[37],,Rb7,0.0,0.0,
74,[38],Qd5,,0.0,0.0,
75,[38],,Qxd5,0.0,0.0,
76,[39],exd5,,0.0,0.0,
77,[39],,f5,0.0,0.0,
78,[40],Ke3,,0.0,0.0,
79,[40],,Kf6,0.0,0.0,
80,[41],f4,,0.0,0.0,
81,[41],,Rb5,0.0,0.0,
82,[42],Kd4,,0.0,0.0,
83,[42],,e5+,0.0,0.0,
84,[43],dxe6,,0.04,0.04,
85,[43],,Kxe6,0.0,0.04,
86,[44],Rc8,,0.11,0.11,
87,[44],,Ra5,0.0,0.11,
88,[45],Kc4,,0.22,0.22,
89,[45],,Rxa2,0.29,-0.07,
90,[46],Re8+,,0.3,0.01,
91,[46],,Kf7,0.42,-0.12,
92,[47],Re3,,0.4,-0.02,
93,[47],,Rc2+,0.43,-0.03,
94,[48],Kxb4,,0.56,0.13,
95,[48],,d5,0.86,-0.3,
96,[49],Rc3,,0.98,0.12,
97,[49],,Rd2,1.12,-0.14,
98,[50],Kc5,,0.87,-0.25,
99,[50],,d4,1.31,-0.44,
100,[51],Rf3,,1.19,-0.12,
101,[51],,Rd1,1.4,-0.21,
102,[52],Kc4,,1.41,0.01,
103,[52],,Ke6,1.32,0.09,
104,[53],Rd3,,1.4,0.08,
105,[53],,Rc1+,1.62,-0.22,
106,[54],Kxd4,,1.5,-0.12,
107,[54],,Kd6,1.46,0.04,
108,[55],b4,,1.72,0.26,
109,[55],,Rb1,1.79,-0.07,
110,[56],Kc4+,,1.52,-0.27,
111,[56],,Kc6,1.54,-0.02,
112,[57],Re3,,1.88,0.34,
113,[57],,Rc1+,1.86,0.02,
114,[58],Kd4,,1.53,-0.33,
115,[58],,Rd1+,1.9,-0.37,
116,[59],Ke5,,1.98,0.08,
117,[59],,Kb5,3.04,-1.06,Erreur
118,[60],Kf6,,3.46,0.42,
119,[60],,Rd6+,3.38,0.08,
120,[61],Kf7,,2.91,-0.47,
